2.5 2.5 2.5 1.17241 1
2.5 2.5 7.5 0.168787 1
2.5 2.5 12.5 -0.859855 1
2.5 2.5 17.5 -0.14614 1
2.5 7.5 2.5 0.87816 1
2.5 7.5 7.5 1.02315 1
2.5 7.5 12.5 0.0872698 1
2.5 7.5 17.5 0.11604 1
2.5 12.5 2.5 0.591668 1
2.5 12.5 7.5 0.833901 1
2.5 12.5 12.5 0.117318 1
2.5 12.5 17.5 -0.697583 1
2.5 17.5 2.5 0.496428 1
2.5 17.5 7.5 -0.874515 1
2.5 17.5 12.5 -0.457269 1
2.5 17.5 17.5 0.296286 1
7.5 2.5 2.5 0.112467 1
7.5 2.5 7.5 -0.900102 1
7.5 2.5 12.5 -0.532794 1
7.5 2.5 17.5 0.656444 1
7.5 7.5 2.5 -0.214821 1
7.5 7.5 7.5 -0.399079 1
7.5 7.5 12.5 0.00138741 1
7.5 7.5 17.5 0.0263447 1
7.5 12.5 2.5 -0.462571 1
7.5 12.5 7.5 0.114711 1
7.5 12.5 12.5 0.0470636 1
7.5 12.5 17.5 -0.284203 1
7.5 17.5 2.5 0.0184143 1
7.5 17.5 7.5 0.34929 1
7.5 17.5 12.5 -0.241564 1
7.5 17.5 17.5 -0.171688 1
12.5 2.5 2.5 0.313582 1
12.5 2.5 7.5 0.778051 1
12.5 2.5 12.5 -0.814773 1
12.5 2.5 17.5 -0.267062 1
12.5 7.5 2.5 -0.10093 1
12.5 7.5 7.5 -0.883492 1
12.5 7.5 12.5 -0.510098 1
12.5 7.5 17.5 -0.232997 1
12.5 12.5 2.5 -0.231516 1
12.5 12.5 7.5 -0.143716 1
12.5 12.5 12.5 -0.216409 1
12.5 12.5 17.5 -0.275056 1
12.5 17.5 2.5 0.872092 1
12.5 17.5 7.5 0.353085 1
12.5 17.5 12.5 -0.974111 1
12.5 17.5 17.5 -0.183784 1
17.5 2.5 2.5 0.822646 1
17.5 2.5 7.5 1.54804 1
17.5 2.5 12.5 -0.235522 1
17.5 2.5 17.5 -0.485471 1
17.5 7.5 2.5 0.0749922 1
17.5 7.5 7.5 0.77142 1
17.5 7.5 12.5 0.0596435 1
17.5 7.5 17.5 -0.0444777 1
17.5 12.5 2.5 0.036417 1
17.5 12.5 7.5 0.513749 1
17.5 12.5 12.5 -0.40385 1
17.5 12.5 17.5 0.404162 1
17.5 17.5 2.5 0.74738 1
17.5 17.5 7.5 -0.379552 1
17.5 17.5 12.5 -1.05998 1
17.5 17.5 17.5 -0.717824 1
